Name,Position (Latitude),Position (Longitude),Message,Address,Hours,Price,Video URL,영업 시간,Seating Type 1,Seating Count 1,Power Count 1,Seating Type 2,Seating Count 2,Power Count 2,Seating Type 3,Seating Count 3,Power Count 3,Seating Type 4,Seating Count 4,Power Count 4,Seating Type 5,Seating Count 5,Power Count 5,Co-work,ID
라오상하이,37.559052,126.93855,다도 카페,서울 서대문구 연세로12길 27 2층,무제한,"7,000원",https://youtube.com/shorts/q5f961LfyjY?feature=share,매일 13:00~21:00,4인석,7,4,,,,,,,,,,,,,0,15718891
유원섬커피,37.559246,126.938501,,서울 서대문구 연세로 42-24,2시간,"4,500원",https://youtube.com/shorts/s4gFi28g754?feature=share,"화~토 12:00~21:00
*20:15 라스트오더
일 12:00~20:30
*19:45 라스트오더
*월 정기휴무",4인석,4,0,2인석,4,0,4인석,2,0,,,,,,,0,1701776676
가빈,37.558892,126.938891,,서울 서대문구 명물길 49 2층,무제한,"4,000원",https://youtube.com/shorts/ixVvrlF1wL4?feature=share,매일 11:00~22:00,3인석,2,0,4인석,5,3,6인석,1,0,,,,,,,0,1256237691
그레인바운더리,37.558498,126.939323,,서울 서대문구 명물길 50-6 1~3층,2시간,"4,500원",https://youtube.com/shorts/kMo1aF0iIqc?feature=share,"매일 10:30~22:30
*22:00 라스트오더
*추석 당일, 설날 휴무",2인석,4,2,3인석,3,3,4인석,1,1,,,,,,,0,1825910645
초코블라썸,37.558509,126.939222,소파 좌석이 있어요,서울 서대문구 명물길 50-4 지하 초코블로썸,2시간,"5,500원",https://youtube.com/shorts/dDLrU4H7NRc?feature=share,"화~금 14:00~22:30
토, 일 12:00~22:30
*월 정기휴무",2인석,8,0,4인석,4,4,6인석,1,0,,,,,,,0,12591155
고르드,37.558458,126.938815,,서울 서대문구 명물길 42 우성빌딩,무제한,"4,500원",https://youtube.com/shorts/Uf5Rrfhl98k?feature=share,"매일 09:00~21:40
* 21:10 라스트오더",2인석,8,2,3인석,2,1,4인석,3,0,5인석,1,0,,,,0,447972484
마이시크릿메이트,37.557805,126.939561,,서울 서대문구 연세로4길 47 1층,3시간,"5,500원",https://youtube.com/shorts/U0y5E8JRAKY?feature=share,"매일 12:00~22:00
* 설, 추석 당일 휴무",2인석,2,0,3인석,4,0,5인석,2,0,,,,,,,0,17358576
포티드,37.55827,126.938849,,서울 서대문구 명물길 36-3 1층,무제한,"5,000원",https://youtube.com/shorts/dN4PnnJzrpE?feature=share,매일 11:30~22:30,2인석,5,0,4인석,14,5,,,,,,,,,,0,2020240735
클로리스,37.557739,126.938798,,서울 서대문구 연세로4길 38,무제한,"5,500원",https://youtube.com/shorts/6CITX2iahqg?feature=share,"월~토 11:00~23:00
일 13:00~23:00",2인석,6,0,3인석,3,0,4인석,14,0,,,,,,,0,8122805
3F카페,37.557405,126.937523,,서울 서대문구 명물길 10 3층,4시간,"5,000원",https://youtube.com/shorts/nmcV-ihdf2E?feature=share,"11:00~23:00
* 22:30 라스트오더",2인석,9,5,4인석,4,3,,,,,,,,,,0,505994572
카페플레이스,37.557511,126.937065,,"서울 서대문구 연세로 20 . 2,3층",무제한,"5,500원",https://youtube.com/shorts/Jg9k-chVrIM?feature=share,"24시간 연중무휴
*06:00~09:00 브레이크타임",1인석,13,13,2인석,17,10,4인석,16,14,,,,,,,0,1430301098
카페나무,37.5571747,126.9372255,,서울 서대문구 명물길 2 2층 카페 나무,4시간,"5,700원",https://youtube.com/shorts/QCNsCQnzWAU?feature=share,24시간 연중무휴,2인석,13,2,3인석,1,0,4인석,17,14,,,,,,,0,20526285
헤이진,37.557058,126.934143,,서울 서대문구 연세로5나길 37 1층,2시간,"5,000원",https://youtube.com/shorts/jbSiBnFnQPs?feature=share,"월, 수~토 11:30~22:00
일 11:30~19:00
*화 정기휴무",1인석,6,3,2인석,3,0,3인석,2,0,4인석,1,0,,,,0,1692202286
길커피,37.5956947,127.0628962,4인석 밖에 없어요ㅠㅠ 단체 스터디 환영합니다!,서울 동대문구 휘경로7길 7 1층,3시간,"3,500원",https://youtube.com/shorts/BDYHYrqxeZ4,"매일 11:00~21:00
*일 정기휴무",4인석,4,4,,,,,,,,,,,,,0,755332055
포마이카이,37.5889883,126.9943742,카공하기 좋은 테이블이 따로 마련되어 있습니다! 그 테이블을 이용하시는 걸 추천해요!,서울 종로구 명륜길 45-5 2층,무제한,"3,800원",https://youtube.com/shorts/gcebindhBZs,"월~토 11:00~20:00
*일 정기휴무",1인석,5,4,2인석,1,0,3인석,4,3,6인석,1,1,,,,0,185431053
튠업카페,37.594266,127.0564834,카공 친화 카페입니다~,서울특별시 동대문구 이문동 이문로9길 46,무제한,"3,500워",https://youtube.com/shorts/yCAunR2gCss,"일~월 10:00~21:00
*토 정기휴무",1인석,10,3,2인석,8,7,4인석,2,1,,,,,,,0,128666241
카페양귀비,37.5928692,127.0575181,만석 시에만 양해 부탁드려요~!,서울특별시 동대문구 이문로9길 8,무제한,"4,000원",https://youtube.com/shorts/q92hloZVLgI,"월~금 12:00~22:00
토,일 13:00~22:00
*평일 21:00 수플레 라스트오더
*주말 20:30 수플레 라스트오더",2인석,6,1,4인석,2,0,,,,,,,,,,0,2093688428
에이바우트 커피,37.5929324,127.0510482,X,서울 동대문구 경희대로3길 28,무제한,2.900원,https://www.notion.so/neulbo/4a9a16619bc84010aaf1181b3f308392?pvs=4#d5f1698ae33748d3945de5d6c1225011,매일 7:30~22:00,1인석,10,10,2인석,9,9,4인석,23,23,,,,,,,0,184885786
카페 밍기적,37.5925235,127.052432,X,서울특별시 동대문구 경희대로 9-1 1층,무제한,"2,000원",https://youtube.com/shorts/ZnfXX2m1YcE,"월~금 11:00~23:00
토 11~21:00
*일 정기휴무",2인석,4,4,3인석,2,1,4인석,3,3,다인석,2,2,,,,0,637816851
커피메소드,37.5928679,127.0531025,X,서울 동대문구 회기로21길 34 2층 커피메소드,4시간 권장,"4,000원",https://youtube.com/shorts/RxUkx8nSPYk,"월~금 11:00~22:00
토,일 12:30~20:00",1인석,4,4,2인석,4,4,4인석,14,7,다인석,3,2,,,,0,
컴투레스트,37.591171,127.054196,에티켓만 지켜주신다면 환영합니다! 1인 1메뉴 필수입니다!,서울 동대문구 회기로 161-11 1층,3시간 권장,"4,800원",,"화~금 12:00~22:00
토,일 12:30~22:00",2인석,6,6,4인석,1,1,,,,,,,,,,0,1464245235
안다르커피,37.558371,126.9353722,"카공을 위한 카페입니다! 미팅룸도 있으니, 많은 이용 부탁드립니다!",,5시간,"4,800원",https://youtube.com/shorts/oV4kthuSZIo,"월~금 13:00~23:30
토, 일 11:00~23:30
* 22:30 라스트오더",1인석,10,10,2인석,1,0,4인석,9,5,6인석,1,0,,,,1,405087913
북카페 파오,37.5584177,126.9460421,아침부터 저녁까지 계셔도 됩니다 :) 카공 친화적 카페!,,무제한,"4,500원",https://youtube.com/shorts/lZU3jmAH-oA,"월~금 12:00~22:00
토,일 11:00~22:00",1인석,10,10,2인석,2,2,4인석,11,11,6인석,3,18,,,,1,
크림슨파더,37.582758,127.004605,신부님이 운영하시는 공간. 음료 구매하지 않아도 재즈 노래가 흘러나오는 곳에서 누구든지 쉬고 갈 수 있어요.,서울 종로구 동숭3길 33,무제한,"4,800원",https://youtube.com/shorts/ZTQNLEcu7AA,"매일 12:00 - 22:00
21:00 라스트오더",1인석,9,2,2인석,3,3,3인석,3,3,5인석,1,1,,,,1,1785907612
피얼스카페,37.5881066,126.9969614,테라스 좌석도 이용할 수 있어요! 한산한 편이라 조용하게 공부할 수 있습니다. 많이 방문해 주세요!,서울특별시 종로구 성균관로 62-3 지층 피얼스카페,무제한,"4,000원",https://youtube.com/shorts/XRLSIKzPhH4,"월~금 11:30~21:00
토~일, 공휴일 13:00~21:00
*재료소진시 마감",1인석,1,0,2인석,2,1,4인석,4,3,,,,,,,1,306597800
일월일일,37.58261,126.998,눈치주지 않습니다!,서울 종로구 창경궁로 231 2층 일월일일,"무제한
만석 시 3시간","5,000원",https://youtube.com/shorts/418pw2V1tPs,매일 12:00~21:0,1인석,8,6,2인석,3,1,3인석,1,0,6인석,1,1,,,,1,1877004477
별똥별궁,37.58244,126.9977,성대 학생들 환영입니다! 콘센트 더 필요하시면 마련해드려요!,서울 종로구 창경궁로 227 1층,"무제한 
주말 권장 X","4,500원",https://youtube.com/shorts/wZgqsvb_AuM,"화~금 10:30~20:30
토~일 10:30~21:30
*화 정기휴무",2인석,3,0,4인석,10,4,,,,,,,,,,1,1249967276
창경궁로240,37.5821758,126.9985058,"가게 사정상 금,토,일 운영하니 이용에 참고 부탁드립니다.",서울 종로구 창경궁로 240-37 1층,2시간~3시간,"5,000원",https://youtube.com/shorts/6m7XXgI501c?feature=share,"금토일 11:00~21:00
금 19:30 라스트오더
토일20:30 라스트오더",1인석,4,1,2인석,4,,4인석,4,3,6인석,1,1,,,,1,118212165
릴리마를렌,37.5815801,127.0008667,노래 꺼달라는 무리한 부탁만 하지 않으시면 카공족 환영합니다~ 공간 대여도 가능하니 많은 이용 부탁드려요!,서울 종로구 대학로9길 17,무제한,"5,500원",https://youtube.com/shorts/Z2l_gIIuL2Y?feature=share,"매일 11:00~24:00
*재료 소진이나 외부 일정 있으면 22~23시 영업 종료",3인석,2,0,4인석,8,4,6인석,1,0,,,,,,,1,925051020
하루온도,37.5818772,127.0005961,마감시간이 유동적이니 이용에 참고 부탁드립니다.,서울 종로구 대학로9길 22-5 2층 하루온도 혜화,2시간~3시간,"4,000원",https://youtube.com/shorts/GZre0vy-7dQ?feature=share,"월~금 11:00~20:00
토, 일 12:00~20:00
*재료 소진 시 조기마감",2인석,6,1,4인석,1,0,5인석,1,0,,,,,,,1,302628769
소원책담,37.5874194,127.0008075,"독서 모임 등의 스터디가 있을 수 있으니, 인스타에서 일정표 확인 부탁드려요.",서울특별시 종로구 혜화로6길 17,4시간,"3,500원",https://youtube.com/shorts/VjdBanJyldI,"유동적으로 운영하니, 인스타에서 일정표 확인",1인석,3,1,4인석,3,2,,,,,,,,,,1,1659028835
킹스커피,37.58292,126.999,공부 열심히하세요!,서울 종로구 대명길 46 (명륜2가) 킹스 커피,5~6시간,"4,900원",https://youtube.com/shorts/eR_1iqdlDx8,연중무휴 24시간,2인석,7,6,3인석,1,1,4인석,60,46,8인석,1,1,12인석,1,1,1,1014575631
계절의 목소리,37.5578539,126.9442773,"조용하고, 카공하기에 좋은 분위기이지만, 평일 저녁 및 주말의 경우, 대관 일정으로 인해 홀 사용이 어려울 수 있어요!",서울 서대문구 이화여대3길 27 2층,무제한,"3,800원",https://youtube.com/shorts/KBLb0KhZM_c,"월~금 10:00~22:00
토~일 11:00~21:00
*라스트오더 영업시간 10분 전까지",1인석,9,6,2인석,4,0,4인석,4,4,6인석,1,2,,,,,1632596295
